instrument_id,name,industry,snapshot_industry,close,change_pct,close_position,volume_multiple,turnover_pct,float_cap_100m,amount_100m,breakout_distance_pct,prior14_high,day_high,day_low,five_day_return_pct,ma5,last_event,last_event_age,last_event_multiple,anchor_date,anchor_low,anchor_margin_pct,events,reset_count,min_post_anchor_close,contraction_days,current_vs_anchor_close_pct,sector_positive_ratio,sector_peer_count,screen_rank,research_score,score_components
603683.SH,晶华新材,化学制品,胶黏剂及胶带,16.21,3.644501278772383,0.8037383177570089,1.0305255772060669,7.7028,46.75500551,3.55232782,-8.210645526613813,17.66,16.42,15.35,2.465233881163109,15.598,2026-09-14,2,2.8507449117327703,2026-09-14,15.01,7.994670219853428,1,0,15.64,2,2.855329949238583,0.8,5,66,67.59239525986325,"{'close_strength': 12.056074766355133, 'breakout_proximity': 0, 'recent_signal': 7.142857142857143, 'price_momentum': 7.740835464620638, 'active_volume': 2.6526278860303343, 'industry_breadth': 8.0, 'turnover': 10, 'float_cap': 10, 'liquidity': 5, 'controlled_5d_move': 5}"
603205.SH,健尔康,医疗器械,医疗耗材,22.95,0.7020623080298494,0.9038461538461524,1.5907282256496897,4.2125,9.48753,0.39309988,-3.571428571428581,23.8,23.05,22.01,3.471596032461677,22.572,2026-09-11,3,2.0948951190170755,2026-09-11,21.72,5.6629834254143585,1,0,22.75,2,2.8225806451612767,0.7321428571428571,56,116,67.50942507789523,"{'close_strength': 13.557692307692285, 'breakout_proximity': 6.642857142857128, 'recent_signal': 5.7142857142857135, 'price_momentum': 2.8367705133830823, 'active_volume': 5.4536411282484485, 'industry_breadth': 7.321428571428571, 'turnover': 10, 'float_cap': 10, 'liquidity': 0.9827497000000001, 'controlled_5d_move': 5}"
002011.SZ,盾安环境,白色家电,家电零部件Ⅲ,13.66,5.727554179566563,0.7157894736842108,0.5805322382848074,5.1437,145.0030173,7.4508433259,-2.288984263233196,13.98,13.93,12.98,9.71887550200805,13.238,2026-09-09,5,2.269644675236319,2026-09-08,11.81,15.664690939881453,2,0,12.45,3,14.30962343096236,0.8529411764705882,34,144,67.29246083168614,"{'close_strength': 10.736842105263161, 'breakout_proximity': 8.566523605150206, 'recent_signal': 2.8571428571428568, 'price_momentum': 10, 'active_volume': 0.4026611914240369, 'industry_breadth': 8.529411764705882, 'turnover': 10, 'float_cap': 6.199879307999999, 'liquidity': 5, 'controlled_5d_move': 5}"
002705.SZ,新宝股份,小家电,厨房小家电,11.19,0.9927797833934937,0.9117647058823496,2.1194645059402406,0.7065,90.42677046,0.6307815894,-2.864583333333337,11.52,11.22,10.88,-0.709849157054121,11.142,2026-09-16,0,2.1194645059402406,2026-09-16,10.88,2.8492647058823373,1,0,,0,0.0,0.7,10,28,67.1131009120256,"{'close_strength': 13.676470588235244, 'breakout_proximity': 7.703124999999994, 'recent_signal': 10.0, 'price_momentum': 3.3212996389891565, 'active_volume': 8.097322529701202, 'industry_breadth': 7.0, 'turnover': 2.355, 'float_cap': 8.3829291816, 'liquidity': 1.5769539734999998, 'controlled_5d_move': 5}"
603051.SH,鹿山新材,化学制品,胶黏剂及胶带,23.72,0.21123785382339832,0.6349206349206337,0.7364575580464043,3.9316,38.33932388,1.50519161,-1.1254689453939148,23.99,23.95,23.32,6.03486812695575,23.2,2026-09-14,2,2.235513359785461,2026-09-09,21.11,12.36380862150639,2,0,22.54,2,6.034868126955728,0.8,5,68,66.94245982018012,"{'close_strength': 9.523809523809504, 'breakout_proximity': 10.311796581909128, 'recent_signal': 7.142857142857143, 'price_momentum': 2.0187297563723305, 'active_volume': 1.1822877902320217, 'industry_breadth': 8.0, 'turnover': 10, 'float_cap': 10, 'liquidity': 3.762979025, 'controlled_5d_move': 5}"
002643.SZ,万润股份,电子化学品,电子化学品Ⅲ,13.34,1.444866920152088,0.8888888888888867,0.9481891548907483,2.0059,120.355481,2.3961150007999996,-1.6949152542372947,13.57,13.38,13.02,3.491078355314192,13.06,2026-09-10,4,2.4132209903252826,2026-09-10,12.76,4.545454545454541,1,0,12.81,4,1.7543859649122862,0.9444444444444444,36,130,66.70895725017664,"{'close_strength': 13.3333333333333, 'breakout_proximity': 9.457627118644059, 'recent_signal': 4.2857142857142865, 'price_momentum': 4.07477820025348, 'active_volume': 2.2409457744537415, 'industry_breadth': 9.444444444444445, 'turnover': 6.686333333333333, 'float_cap': 7.18578076, 'liquidity': 5, 'controlled_5d_move': 5}"
002074.SZ,国轩高科,电池,锂电池,26.14,2.872884691066502,0.8058823529411774,2.4277728514547694,1.9387,453.96232017,8.709754157999999,-5.665824612053417,27.71,26.47,24.77,1.1609907120742946,25.482,2026-09-16,0,2.4277728514547694,2026-09-16,24.77,5.530884134033109,1,0,,0,0.0,0.84375,32,19,66.58300378508889,"{'close_strength': 12.088235294117661, 'breakout_proximity': 3.501263081919875, 'recent_signal': 10.0, 'price_momentum': 6.454807818444169, 'active_volume': 9.638864257273847, 'industry_breadth': 8.4375, 'turnover': 6.4623333333333335, 'float_cap': 0, 'liquidity': 5, 'controlled_5d_move': 5}"
001228.SZ,永泰运,物流,跨境物流,32.45,0.6513647642679921,0.7971014492753629,0.935674740735067,3.0408,25.9160627,0.78454119,-0.7037943696450277,32.68,32.59,31.9,4.846526655896621,31.27,2026-09-14,2,2.406321580867503,2026-09-14,30.6,6.045751633986929,1,0,32.24,2,2.1082441787287687,0.46153846153846156,13,72,66.55107322869331,"{'close_strength': 11.956521739130443, 'breakout_proximity': 10.944308445532458, 'recent_signal': 7.142857142857143, 'price_momentum': 2.7522746071133204, 'active_volume': 2.1783737036753346, 'industry_breadth': 4.615384615384616, 'turnover': 10, 'float_cap': 10, 'liquidity': 1.961352975, 'controlled_5d_move': 5}"
002413.SZ,雷科防务,军工电子,军工电子Ⅲ,8.33,2.71270036991369,0.46153846153846223,1.089477947660431,4.3352,107.90936065,4.6769947101,-3.139534883720929,8.6,8.54,8.15,1.833740831295838,8.278,2026-09-11,3,2.8739225193488482,2026-09-11,8.03,3.7359900373599153,1,0,8.11,3,-0.9512485136741966,0.9672131147540983,61,97,66.41904072148054,"{'close_strength': 6.923076923076933, 'breakout_proximity': 7.290697674418607, 'recent_signal': 5.7142857142857135, 'price_momentum': 6.18783394985615, 'active_volume': 2.9473897383021552, 'industry_breadth': 9.672131147540984, 'turnover': 10, 'float_cap': 7.683625574000001, 'liquidity': 5, 'controlled_5d_move': 5}"
603435.SH,嘉德利,电子化学品,膜材料,48.77,1.5830035409289733,0.7380952380952396,1.2497536426660163,10.8459,17.40479375,1.87696336,-11.600507522204095,55.17,49.32,47.22,4.8366294067067495,47.164,2026-09-15,1,2.240732104577633,2026-09-14,44.6,9.349775784753355,2,0,48.01,1,2.8469000421762924,0.9523809523809523,21,49,66.34891584821173,"{'close_strength': 11.071428571428594, 'breakout_proximity': 0, 'recent_signal': 8.571428571428573, 'price_momentum': 4.305005901548289, 'active_volume': 3.7487682133300817, 'industry_breadth': 9.523809523809524, 'turnover': 9.436066666666665, 'float_cap': 10, 'liquidity': 4.6924084, 'controlled_5d_move': 5}"
